スキルシート,,,,,,,,,,,,,,,,,,
技術者名,**更新日**: 2026年4月7日,,,,,,,所　　属,個人事業主（フリーランス）,,,,,,,,,
年　　齢,,,,,,,,性　　別,,,,,,,,,,
最 寄 駅,,,,,,,,学　　歴,,,,,,,,,,
稼動開始日,即日〜,,,,,,,資　　格,ITパスポート,,,,,,,,,
得意技術,Python / Selenium / Octoparse / Gemini API / Claude Code / GCP / GitHub Actions / Flet / GAS / FastAPI,,,,,,,,,,,,,,,,,
得意業務,業務自動化（RPA・スクレイピング・データ収集） / AI連携システム開発 / GUIアプリ開発 / Web監視・通知システム,,,,,,,,,,,,,,,,,
職務経歴,,No.,企業名,,,期間,契約・雇用形態,,担当職種,,事業内容,,,,,,,
,,1,個人事業主（フリーランス）,,,2019年12月 - 現在,個人事業主,,Pythonエンジニア,,Webシステム開発・業務自動化・AI連携,,,,,,,
期間,,,,,業務内容,,"役割
規模",使用言語,DB,サーバOS,"FW・MW
ツール等",担当工程,,,,,,
,,,,,,,,,,,,要件定義,基本設計,詳細設計,実装・単体,結合テスト,総合テスト,保守・運用
1,2026年3月,,-,2026年4月,■人的資本データ抽出・分析パイプライン構築（海外企業PDF 800件）,,"AIエンジニア・PG
1名",Python 3,Mysql,Github Actions(Ubuntsu),"Gemini 2.5 Flash
Claude Code
Docker",●,●,●,●,●,●,●
,,,,,"≪担当業務≫
海外企業の人的資本レポート（アニュアルレポート等）800件から、複雑な非構造化データを高精度に抽出するAIエージェント・ワークフローを構築。
　・マルチモーダルLLMの視覚能力活用:
　　従来のOCR（文字認識）を介さず、Gemini 2.5 Flashに直接PDFを「画像」として認識させる手法を採用。文字情報だけでなく、グラフの推移、チェックボックスの有無、表のレイアウト構造を視覚的に捉えたデータ抽出を実現。
　・高度なプロンプトエンジニアリング（CoT & フェイルセーフ設計）:
　　抽出精度と信頼性を極限まで高めるため、以下のロジックをプロンプトに組み込み実装。
　　* Chain of Thought (思考の連鎖): 「目次からのページ特定 → 該当箇所の視覚的スキャン → 数値特定・計算 → 結論」というステップバイステップの思考プロセスを強制し、推論ミスを大幅に削減。
　　* 人間とAIのためのフェイルセーフ設定: グラフが存在しても数値ラベルがない場合に「無理に数値を推測（ハルシネーション）しない」制約を厳格に適用。値には「グラフあり・詳細数値不明」と出力させ、理由を報告させることで、後続の人間によるチェックコストを最小化。
　・トレーサビリティの徹底:
　　抽出した全データに対し、参照したページ番号と原文テキストの引用をセットで出力。コンサルタントが即座にエビデンスを確認できる仕組みを構築。

≪ビジネス上の効果≫
　・データ品質の劇的向上: CoTの導入により、複雑な計算を伴う指標（一人当たりの利益率等）の抽出精度が向上。
　・検証コストの削減: AIの判断根拠（思考プロセスと参照ページ）が明示されるため、人間によるダブルチェックが効率化され、施策全体のROIが向上。",,"体制：1名
（個人事業主）",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,2024年11月,,-,2026年2月,■Google Maps API 活用データ収集・分析システム構築（継続案件）,,"PG・PM
1名",Python 3,Mysql,Linux (Ubuntu) / Windows 10,"Google Maps Place Detail API
Gemini API
Flet
GCP
GitHub Actions
Codespaces
Claude Code
Bigquery
Docker",●,●,●,●,●,●,●
,,,,,"≪担当業務≫
Google Maps APIを活用したデータ収集・分析システムを段階的に開発・拡張した長期継続案件。
【フェーズ1: GUIデスクトップアプリ開発】（2024年11月〜2025年2月）
非エンジニアのクライアント担当者が直接操作できるGUIアプリをFletで開発。Google Maps Place Detail APIによる店舗詳細情報（営業時間・評点・レビュー数など）の一括抽出、Gemini APIを活用した複数プラットフォーム間の施設ID名寄せ処理・表記ゆれの自動統合機能を実装。
【フェーズ2: データ抽出フロー構築】（2025年9月）
地点情報（店舗・施設データ）の効率的な一括抽出パイプラインを新たに構築。Gemini APIによる住所・店舗名の表記ゆれ補正をフローに組み込み、高精度なロケーションデータを生成。
【フェーズ3: APIリクエスト数削減・分析拡張】（2025年9月〜2026年2月）
既存システムにAPIコスト最適化フローを追加開発。既取得データのキャッシュ活用ロジック実装、ヒートマップによる地域別データ密度の可視化、GitHub Actionsによる定期自動実行、英文分析レポートのクライアント提出まで対応。

≪ビジネス上の効果≫
　・Google Maps API利用コストを大幅削減（重複リクエスト排除・キャッシュ活用の組み合わせ）
　・GUIにより、プログラム知識ゼロの担当者がデータ収集を自走できる体制を実現
　・AI名寄せにより複数データソースの統合精度が向上し、マーケティング分析の質が改善
　・ヒートマップ可視化によりデータ収集先の優先度付けが可能となり、収集精度が向上
　・GitHub Actionsによる自動実行で、継続的なデータメンテナンスが無人化
　・データ収集速度を手動比10倍以上に改善",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約1年4ヶ月）,,,,,,,,,,,,,,,,,
3,2025年7月,,-,2025年7月,■Wikipediaデータの大規模抽出・クレンジング,,"PG
1名","Python 3, SPARQL",CSV,Windows 10,"VS Code
Gemini API
Wikidata Query Service",●,●,●,●,●,●,-
